10364.0	1039.0
22651.0	1779.0
39850.0	2560.0
61971.0	3093.0
89022.0	3493.0
120890.0	3875.0
157776.0	4239.0
199549.0	4426.0
246156.0	4697.0
297876.0	4853.0
354385.0	5110.0
415812.0	5588.0
482170.0	5980.0
553360.0	6424.0
629530.0	6813.0
710683.0	7209.0
796690.0	7661.0
887793.0	8043.0
983529.0	8526.0
1.083987e6	8962.0
1.189905e6	9431.0
1.300515e6	9910.0
1.4158e6	10306.0
1.536098e6	10687.0
1.661585e6	11057.0
1.791639e6	11490.0
1.927079e6	11876.0
2.067228e6	12297.0
2.211972e6	12758.0
2.361986e6	13199.0
2.516737e6	13754.0
